Struktura;Rozmiar;DodajPoczatek[ns];DodajLosowo[ns];DodajKoniec[ns];UsunPoczatek[ns];UsunLosowo[ns];UsunKoniec[ns];Szukaj[ns]
Tablica;5000;3255;2125;20;4625;2850;10;15
Tablica;10000;5690;2765;25;10195;2705;10;15
Tablica;20000;10295;8535;30;14295;7925;5;10
Tablica;40000;17430;6010;20;16840;8040;10;15
Tablica;60000;26895;24290;20;23620;23040;5;20
Tablica;80000;33100;25535;30;43110;31675;15;10
Tablica;100000;42750;36925;25;55190;47985;10;20
Tablica;150000;66480;58245;35;81060;63510;15;20
Lista1K;5000;25;9070;40;60;10335;11265;10
Lista1K;10000;25;11495;35;110;10180;20325;15
Lista1K;20000;35;14965;45;140;13990;52185;10
Lista1K;40000;25;69630;45;120;66600;100000;25
Lista1K;60000;25;25125;50;155;25780;172040;15
Lista1K;80000;30;29665;55;205;29530;213515;10
Lista1K;100000;30;60440;75;235;74565;268155;15
Lista1K;150000;30;87855;85;225;87510;395075;15
Lista2K;5000;50;1965;35;65;1725;80;10
Lista2K;10000;65;13140;45;185;19855;65;10
Lista2K;20000;55;57255;70;205;53775;140;10
Lista2K;40000;85;46020;50;260;49135;185;15
